Unnamed: 0,h_cover,v_cover,cluster,area
270,1.0,0.9985823034487008,314,324.47
271,1.0,1.0,269,6.18
272,1.0,1.0,125,12.47
273,0.9828199052132702,1.0,470,16.88
275,0.968282901932191,1.0,711,27.43
276,1.0,1.0,313,9.41
277,0.9479653102068046,1.0,471,14.99
278,1.0,1.0,398,9.16
279,0.9313993174061432,1.0,527,29.3
280,0.9512471655328798,1.0,739,8.82
281,1.0,1.0,110,48.56
282,0.92942254812099,1.0,573,32.73
283,1.0,1.0,265,12.59
284,1.0,1.0,187,15.13
285,0.9999582742218144,1.0,301,718.98
286,1.0,0.9998564249820532,357,69.65
287,0.9679300291545188,1.0,577,144.06
288,1.0,1.0,26,20.89
289,0.9138263665594856,1.0,557,15.55
290,0.942295081967213,1.0,475,15.25
291,1.0,1.0,343,7.6
292,1.0,1.0,261,23.42
293,0.981838819523269,1.0,700,8.81
294,1.0,1.0,426,6.51
295,0.9610389610389608,1.0,741,45.43
296,1.0,1.0,418,81.43
297,1.0,1.0,150,23.31
298,1.0,1.0,277,67.85
299,0.9547809703250116,1.0,734,21.23
300,0.9999365430784362,0.999968271539218,388,2836.57
301,0.9821958456973292,1.0,612,6.74
302,0.9790631653655074,1.0,699,28.18
303,1.0,1.0,164,17.9
304,1.0,1.0,114,17.87
305,1.0,1.0,145,82.8
306,1.0,0.9649574073688376,225,960.26
307,0.951783355350066,1.0,720,15.14
308,1.0,1.0,198,12.14
309,0.9873969946679594,1.0,647,20.63
310,0.9619506966773848,1.0,748,18.66
311,1.0,1.0,173,16.41
312,0.9777034559643254,1.0,670,8.97
313,1.0,0.9993685056547448,68,348.38
314,1.0,1.0,209,8.34
315,0.9944598337950138,1.0,657,7.22
316,1.0,1.0,430,59.1
317,1.0,1.0,73,25.1
318,1.0,1.0,436,107.89
319,0.9553571428571428,1.0,789,8.96
320,1.0,1.0,197,11.05
321,1.0,1.0,8,10.52
322,1.0,1.0,154,9.21
323,0.9667721518987342,1.0,774,6.32
324,0.9171612265084076,1.0,519,40.44
